Target                                                           RMSD   GDT-TS   GDT-HA
  74                                              tag0386.al.pdb  11.6770   0.3212   0.2192
  75                                              tag0389.al.pdb  16.9160   0.2962   0.2000
  76                                              tag0391.al.pdb  10.9570   0.3019   0.1846
  77                                              tag0392.al.pdb  16.0180   0.2019   0.1404
  78                                              tag0393.al.pdb  19.0330   0.2404   0.1519
  79                                              tag0394.al.pdb  19.2440   0.2231   0.1538
  80                                              tag0395.al.pdb  12.5560   0.2462   0.1462
  81                                              tag0396.al.pdb  17.4550   0.2096   0.1327
  82                                              tag0397.al.pdb  15.4740   0.2500   0.1673
  83                                              tag0398.al.pdb  17.9390   0.1885   0.1308
  84                                              tag0400.al.pdb  15.1320   0.2558   0.1577
  85                                              tag0416.al.pdb  15.9080   0.2269   0.1519
  86                                              tag0417.al.pdb  16.1660   0.3308   0.2327
  87                                              tag0443.al.pdb  17.5600   0.1962   0.1250
  88                                              tag0444.al.pdb  13.4220   0.2942   0.1904
  89                                              tag0445.al.pdb  12.0400   0.3385   0.2173
  90                                              tag0446.al.pdb  11.8660   0.2135   0.1365
  91                                              tag0450.al.pdb  15.3410   0.2558   0.1731
  92                                              tag0461.al.pdb  14.7430   0.3846   0.2500
  93                                              tag0462.al.pdb  11.1170   0.4096   0.2750
  94                                              tag0463.al.pdb  14.3110   0.3538   0.2231
  95                                              tag0466.al.pdb  12.3140   0.4423   0.3038
  96                                              tag0468.al.pdb   8.7990   0.4423   0.2846
  97                                              tag0469.al.pdb  14.5690   0.3808   0.2538
  98                                              tag0470.al.pdb  10.9690   0.3904   0.2481
  99                                              tag0476.al.pdb  14.9860   0.3769   0.2442
 100                                              tag0514.al.pdb  15.7500   0.4904   0.3538
